id,name
923,Squeaky-Voiced Teen
978,LANLEY
921,Laura Powers
908,Bumblebee Man
880,Santa Claus
986,Bart Anchor
987,Lance Murdock
988,2nd Announcer
989,Homer's Thought Bubble
990,Reverend
991,Aunt Gladys's Corpse
992,Aunt Gladys
993,HUTZ' VOICE
994,MR. HUTZ
995,Princess Opal
996,Bag Boy
997,Waitress #2
998,Sperm Doctor
999,Babies
1000,MAN ON RADIO
1001,Surly
1002,Attractive Woman
1003,Man On Tv
1004,Beer Singers
1005,Hercules
1006,Security Man
1007,Washington
1008,Man In White Coat
1009,Boys
1010,Santa's Little Helper
1011,Homer's Bloody Skull
1012,Sketch Announcer
1013,Agency Worker
1014,Fans
1015,Small Man
1016,Chihuahua
1017,Cat
1018,Corey
1019,Pepi
1020,Apu's Brain
1021,JOHNNY
1022,Truck Driver
1023,Rex
1024,Homer's Conscience
1025,Robert Frost
1026,FROST
1027,Raheem
1028,Presidents
1029,Harrison
1030,Presidents' Heads
1031,Teddy Roosevelt
1032,3rd World Father
1033,3rd World Family
1034,Mechanical Figure
1035,Tourists
1036,Cartoon Doctor
1037,Richard Nixon
1038,Kennedy
1039,Mrs. Phillips
1040,Assembly
1041,Chuck's Dad
1043,Parent One
1044,Parent Two
1045,Feminists
1047,Train
1048,Receiver
1049,Burns' Grandfather
1050,Dr. Wolfe
1051,Gummy Joe
1052,Donut Vendor
1053,Mop Top #1
1054,Mop Top #2
1055,Mop Top #3
1056,Mop Tops
1057,Goon
1058,Bird
1059,Quigley
1060,Robots
1061,DR. JOYCE
1062,Pagan Simpsons
1063,Waiters/cooks
1064,Specialist
1065,Intern
1066,Elvis
1068,Writer
1069,Roxie
1070,Bobby Mindich
1072,Barney's Boss
1073,Writer #2
1074,Cowboys
1075,BROOKE
1076,Child
1077,Seagull
1079,Scottish Woman
1080,Exhaust Pipe Lid
1081,Chicken
1082,Mr. Ogden
1083,Scientist #1
1084,Scientist #2
1085,Evil Homer
1086,Hitler
1087,Recruiter
1088,Actor
1089,Teenaged Guide
1090,Children's Choir
1091,Boy Soloist
1092,Driver Of Foreign Car
1093,Barry White
1094,Miss Springfield
1095,Irishman
1078,Gary Chalmers
1046,Baseball Announcer
1071,ARTIE
1096,Old Mrs. Glick
1097,SICK JAPANESE WORKER
1098,Japanese Worker #2
1099,JAPANESE WORKERS
1100,White Blood Cell #1
1101,White Blood Cell #2
1102,Virus
1103,JAMAICAN MAN
1104,Husband
1105,Jury
1106,David Crosby
1107,Jury Foreman
