id,normalized_name
1213,ballet class
1214,shot
1215,limousine
1216,driver test car
1217,springfield performing arts center
1218,performing arts center
1219,springfield river
1220,hospital bed
1221,ny city
1222,desert
1223,springfield hotel
1224,committee room
1225,hotel hallway
1226,dorothy chandler pavilion
1227,meadow
1228,friar wiggum fantastical beastarium
1229,tent
1230,lisa dorm
1231,dorm room
1234,parkfield manor
1235,skyscraper
1236,otto cab
1237,new bedroom
1238,springfield meadow
1239,bride tent
1240,main tent
1241,lisa tent
1242,groom tent
1243,renaissance fair
1244,chief wiggum bedroom
1245,pet store
1246,dog racing track lobby
1247,track
1248,burns gate
1249,burns bathroom
1250,laundry chute
1251,basement laundry room
1252,battlefield entrance
1253,historical site
1254,battlefield re-creation
1255,gym class
1256,elegant living room
1257,another classroom
1258,hallway outside skinner office
1259,springfield elementary school prison
1260,nurses office a little later
1261,french classroom
1262,operating room
1263,hospital room a few hours later
1264,hospital hallway
1265,springfield bridge
1266,murphy hospital room
1267,the jazz hole
1268,steve allen show
1269,swanky department store
1270,cosby show living room
1271,bleeding gums murphy hospital room
1272,springfield cemetery day
1273,wjazz
1274,jebediah springfield park
1275,small park
1276,grassy knoll
1277,city street
1278,springfield police academy
1279,obstacle course
1280,shooting range
1281,driving course
1282,springfield city street
1283,minor league baseball field
1284,lemon tree area
1285,borderland
1286,shelbyville street
1287,shelbyville park
1288,shelbyville hillside
1289,flanders rv
1290,shelbyville bluffs
1291,big cat building
1292,hill
1293,grassy hill
1294,impound lot
1295,shelbyville hospital
1296,rv
1297,springfield elementary school roof
1298,burns oil site
1299,town hall steps
1300,front of town hall
1301,smithers apartment
1302,nightclub
1303,paddy wagon
1304,back of comic book store
1305,some nerd house
1306,hollywood studio
1307,producer trailer
1308,movie set
1309,shoot location
1310,milhouse starwagon
1311,editing trailer
1312,editing bay
1313,slot car heaven
1314,abandoned factory
1315,hollywood and vine
1316,springfield bentley dealer
1317,child welfare board
1318,mingled waters health spa
1319,swartzwelder county courthouse
1320,family skills class
1321,road near riverbank
1322,establishing
1323,springfield central park
1324,uncle moe family feedbag
1325,181st street
1326,gramma van houten apartment
1327,storytown village
1328,the three bears house
1329,train ride
1330,petting zoo
1331,sheep pen
1332,slaughterhouse exit
1333,kwik-e-mart roof
1334,lard lad donuts
1335,springfield strip
1336,rooftop of channel 6
1337,big and tall men shop
1338,van brunt churchill ad agency
1339,ad agency
1340,remote highway out of town
1341,ventura boulevard
1342,dr nick rivera office
1343,dr nick rivera outer office
1344,vast waistband
1345,remote idyllic corn field
1346,litter-strewn highway
1347,springfield highway
1348,top of springfield falls
1349,springfield cemetery
1350,homer boyhood home
1351,germ warfare lab
1352,springfield post office
1353,springfield airport cab stand
1354,patty and selma living room
1355,isolated stretch of highway
1356,isolated highway
1357,springwood minimum security prison
1358,air force base
1359,duff blimp exhibit
1360,f-15 fighter display
1361,f-15 fighter
1362,colonel washroom
1363,air show
1364,channel ocho
1365,duff blimp
1366,civil defense shack
1367,harrier jet
1368,wright bros plane
1369,fighter jet
1370,springfield badlands
1371,springfield civic auditorium
1372,matt groening office
1373,indian palace
1374,try-n-save
