id,imdb,imdb_votes,number_in_season,number_in_series,datetime,season,title,us_viewers
564,5.8,439.0,12,564,2015-01-25,26,The Musk Who Fell to Earth,3290000.0
570,6.7,334.0,18,570,2015-04-19,26,Peeping Mom,3230000.0
9,7.5,1578.0,9,9,1990-03-18,1,Life on the Fast Lane,33500000.0
11,7.8,1539.0,11,11,1990-04-15,1,The Crepes of Wrath,31200000.0
13,7.9,1567.0,13,13,1990-05-13,1,Some Enchanted Evening,27100000.0
15,8.3,1588.0,2,15,1990-10-18,2,Simpson and Delilah,29900000.0
16,8.2,1786.0,3,16,1990-10-25,2,Treehouse of Horror,27400000.0
18,7.5,1381.0,5,18,1990-11-08,2,Dancin' Homer,26100000.0
20,7.7,1324.0,7,20,1990-11-22,2,Bart vs. Thanksgiving,25900000.0
22,8.1,1402.0,9,22,1990-12-20,2,Itchy & Scratchy & Marge,22200000.0
25,8.2,1392.0,12,25,1991-01-31,2,The Way We Was,26800000.0
27,7.5,1241.0,14,27,1991-02-14,2,Principal Charming,23900000.0
29,7.5,1264.0,16,29,1991-03-07,2,"Bart's Dog Gets an ""F""",23900000.0
33,7.9,1246.0,20,33,1991-05-02,2,The War of the Simpsons,19700000.0
573,6.8,335.0,21,573,2015-05-10,26,Bull-E,2770000.0
576,6.7,395.0,2,576,2015-10-04,27,Cue Detective,6020000.0
580,6.8,335.0,6,580,2015-11-08,27,Friend with Benefit,3480000.0
583,8.4,698.0,9,583,2015-12-13,27,Barthood,5970000.0
585,6.8,309.0,11,585,2016-01-10,27,Teenage Mutant Milk-Caused Hurdles,8330000.0
598,,,2,598,2016-10-02,28,"Friends and Family""[203]",
599,,,3,599,2016-10-09,28,"The Town""[205]",
600,,,4,600,2016-10-16,28,"Treehouse of Horror XXVII""[207]",
588,6.6,293.0,14,588,2016-02-21,27,Gal of Constant Sorrow,3100000.0
590,7.3,262.0,16,590,2016-03-13,27,The Marge-ian Chronicles,3070000.0
593,7.1,229.0,19,593,2016-04-24,27,Fland Canyon,2770000.0
595,6.4,227.0,21,595,2016-05-15,27,Simprovised,2800000.0
1,8.2,3734.0,1,1,1989-12-17,1,Simpsons Roasting on an Open Fire,26700000.0
2,7.8,1973.0,2,2,1990-01-14,1,Bart the Genius,24500000.0
4,7.8,1701.0,4,4,1990-01-28,1,There's No Disgrace Like Home,20200000.0
6,7.6,1674.0,6,6,1990-02-11,1,Moaning Lisa,27400000.0
8,7.7,1580.0,8,8,1990-02-25,1,The Telltale Head,28000000.0
34,8.4,1379.0,21,34,1991-05-09,2,Three Men and a Comic Book,21000000.0
36,8.6,1798.0,1,36,1991-09-19,3,Stark Raving Dad,22900000.0
38,8.2,1302.0,3,38,1991-10-03,3,When Flanders Failed,22800000.0
40,8.5,1452.0,5,40,1991-10-17,3,Homer Defined,20600000.0
78,8.1,1122.0,19,78,1993-04-15,4,The Front,20100000.0
73,8.1,1176.0,14,73,1993-02-04,4,Brother from the Same Planet,23800000.0
86,8.7,1437.0,5,86,1993-10-28,5,Treehouse of Horror IV,24000000.0
71,9.0,2028.0,12,71,1993-01-14,4,Marge vs. the Monorail,23000000.0
74,8.3,1268.0,15,74,1993-02-11,4,I Love Lisa,25200000.0
90,8.4,1308.0,9,90,1993-12-09,5,The Last Temptation of Homer,20600000.0
54,7.7,1165.0,19,54,1992-03-12,3,Dog of Death,23400000.0
42,8.2,1369.0,7,42,1991-10-31,3,Treehouse of Horror II,20000000.0
43,7.9,1243.0,8,43,1991-11-07,3,Lisa's Pony,23000000.0
66,7.8,1163.0,7,66,1992-11-05,4,Marge Gets a Job,22900000.0
47,8.2,1213.0,12,47,1991-12-26,3,I Married Marge,21900000.0
76,9.0,1827.0,17,76,1993-03-11,4,Last Exit to Springfield,22400000.0
49,8.0,1179.0,14,49,1992-01-23,3,Lisa the Greek,23200000.0
57,7.7,1176.0,22,57,1992-04-23,3,The Otto Show,17500000.0
85,8.9,1479.0,4,85,1993-10-21,5,Rosebud,19500000.0
50,8.0,1176.0,15,50,1992-02-06,3,Homer Alone,23700000.0
52,8.6,1637.0,17,52,1992-02-20,3,Homer at the Bat,24600000.0
79,8.1,1234.0,20,79,1993-04-29,4,Whacking Day,20000000.0
63,7.8,1194.0,4,63,1992-10-15,4,Lisa the Beauty Queen,19000000.0
81,8.2,1269.0,22,81,1993-05-13,4,Krusty Gets Kancelled,19400000.0
56,8.2,1233.0,21,56,1992-04-09,3,Black Widower,17300000.0
61,8.1,1339.0,2,61,1992-10-01,4,A Streetcar Named Marge,18300000.0
64,8.4,1394.0,5,64,1992-10-29,4,Treehouse of Horror III,25100000.0
68,8.8,1595.0,9,68,1992-11-19,4,Mr. Plow,24000000.0
94,8.3,1171.0,13,94,1994-02-10,5,Homer and Apu,21800000.0
97,8.5,1191.0,16,97,1994-03-17,5,Homer Loves Flanders,18000000.0
99,8.4,1143.0,18,99,1994-04-14,5,Burns' Heir,14700000.0
137,8.0,1023.0,9,137,1995-11-26,7,Sideshow Bob's Last Gleaming,14200000.0
113,8.0,1060.0,10,113,1994-12-04,6,Grampa vs. Sexual Inadequacy,14100000.0
147,8.2,1103.0,19,147,1996-03-24,7,A Fish Called Selma,12900000.0
117,8.6,1221.0,14,117,1995-02-05,6,Bart's Comet,18700000.0
131,8.3,1088.0,3,131,1995-10-01,7,Home Sweet Homediddly-Dum-Doodily,14500000.0
142,7.7,962.0,14,142,1996-02-04,7,Scenes from the Class Struggle in Springfield,14400000.0
119,8.5,1353.0,16,119,1995-02-19,6,Bart vs. Australia,15100000.0
135,9.0,1633.0,7,135,1995-11-05,7,King-Size Homer,17000000.0
103,8.0,1060.0,22,103,1994-05-19,5,Secrets of a Successful Marriage,15600000.0
105,8.1,1156.0,2,105,1994-09-11,6,Lisa's Rival,16700000.0
121,8.5,1223.0,18,121,1995-03-05,6,A Star Is Burns,14400000.0
122,8.3,1190.0,19,122,1995-03-19,6,Lisa's Wedding,14400000.0
106,6.0,1051.0,3,106,1994-09-25,6,Another Simpsons Clip Show,13500000.0
133,8.5,1288.0,5,133,1995-10-15,7,Lisa the Vegetarian,14600000.0
124,8.1,1004.0,21,124,1995-04-16,6,The PTA Disbands,11800000.0
108,8.3,1142.0,5,108,1994-10-09,6,Sideshow Bob Roberts,14400000.0
110,8.0,1150.0,7,110,1994-11-06,6,Bart's Girlfriend,15300000.0
129,8.9,1497.0,1,129,1995-09-17,7,Who Shot Mr. Burns? (Part Two),16000000.0
126,8.2,1003.0,23,126,1995-05-07,6,The Springfield Connection,12700000.0
145,8.9,1609.0,17,145,1996-02-25,7,Homer the Smithers,14100000.0
112,9.0,1655.0,9,112,1994-11-27,6,Homer Badman,17000000.0
115,8.9,1457.0,12,115,1995-01-08,6,Homer the Great,20100000.0
138,7.5,1038.0,10,138,1995-12-03,7,The Simpsons 138th Episode Spectacular,16399999.999999998
141,8.7,1264.0,13,141,1996-01-14,7,Two Bad Neighbors,16500000.0
144,8.1,1039.0,16,144,1996-02-18,7,Lisa the Iconoclast,13400000.0
136,8.5,1226.0,8,136,1995-11-19,7,Mother Simpson,15300000.0
150,8.3,1122.0,22,150,1996-04-28,7,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",13000000.0
152,8.0,1095.0,24,152,1996-05-19,7,Homerpalooza,12900000.0
181,8.1,980.0,3,181,1997-10-19,9,Lisa's Sax,12900000.0
166,7.7,1088.0,13,166,1997-02-07,8,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,17700000.0
154,8.3,1186.0,1,154,1996-10-27,8,Treehouse of Horror VII,18300000.0
169,8.2,1100.0,16,169,1997-02-23,8,Brother from Another Series,15100000.0
156,8.0,1085.0,3,156,1996-11-10,8,The Homer They Fall,17000000.0
158,8.2,1098.0,5,158,1996-11-24,8,Bart After Dark,14100000.0
202,7.7,880.0,24,202,1998-05-10,9,Lost Our Lisa,7600000.0
199,7.9,905.0,21,199,1998-04-19,9,Girly Edition,8500000.0
187,7.5,888.0,9,187,1997-12-07,9,Realty Bites,10600000.0
174,7.9,967.0,21,174,1997-04-20,8,The Old Man and the Lisa,14000000.0
159,8.0,1008.0,6,159,1996-12-01,8,A Milhouse Divided,12800000.0
170,8.1,1020.0,17,170,1997-03-02,8,"My Sister, My Sitter",15100000.0
193,7.5,878.0,15,193,1998-02-22,9,The Last Temptation of Krust,9500000.0
183,8.2,1081.0,5,183,1997-11-02,9,The Cartridge Family,10300000.0
172,8.2,995.0,19,172,1997-04-06,8,Grade School Confidential,13300000.0
161,8.8,1268.0,8,161,1996-12-29,8,Hurricane Neddy,
197,8.3,1026.0,19,197,1998-03-29,9,Simpson Tide,9000000.0
177,7.3,1006.0,24,177,1997-05-11,8,The Simpsons Spin-Off Showcase,11600000.0
179,9.1,1918.0,1,179,1997-09-21,9,The City of New York vs. Homer Simpson,10500000.0
